SYMBOL	lengths
SEMA3F-AS1	3320
LOC100129066	4697
KTN1-AS1	11979
SIGLEC10-AS1	1356
BTNL10	1812
KHDC1L	1246
TDH-AS1	1099
LOC100129138	5101
LOC100129175	1992
ZSCAN16-AS1	8878
MATN1-AS1	7423
LOC100129203	9761
SLC39A12-AS1	2874
LOC100129215	2611
DEFB131B	213
THCAT155	16388
CXorf51A	431
SMIM27	4738
LINC01160	2088
C1orf68	949
TDRD15	7180
LOC100129291	2362
CD200R1L-AS1	919
LOC100129307	1251
LINC02291	2817
LINC00484	2377
NRADDP	2085
SMIM10L1	10026
C9orf92	810
GABPB1-AS1	1076
FAM106C	1623
MSTO2P	1709
FAM236A	722
RPL19P12	1182
DDC-AS1	1776
LOC100129434	13937
DPY19L1P1	2594
LYRM4-AS1	20679
LINC01546	8474
MKRN2OS	4760
ZNF37BP	12700
LOC100129484	2651
LOC100129503	1798
ETDB	713
LINC02012	1725
SOD2-OT1	1718
LOC100129534	2621
LOC100129540	1900
ZNF730	4503
LINC02035	5476
FAM47E	11010
LINC00462	962
LOC100129603	2489
PLPPR5-AS1	7183
LOC100129636	3773
TCF24	3165
FGF13-AS1	1347
IZUMO3	1770
LOC100129697	1812
ARRDC3-AS1	9290
STPG3-AS1	1701
MAPRE3-AS1	3097
LINC01126	1646
MIR193BHG	15809
CCDC152	4186
SLC25A21-AS1	1924
ZNF807P	1707
IRAG1-AS1	3037
COL4A2-AS2	1522
ZNF737	10212
PCOLCE-AS1	3747
SCOC-AS1	10734
LOC100129878	659
LOC100129917	8784
TMEM269	4921
LOC100129931	4300
LOC100129935	2286
HMGA2-AS1	6357
CCNT2-AS1	5496
FAM205C	2238
CERNA1	6657
LINC01460	2860
HDAC6	23197
URAHP	3816
FTLP10	1501
LOC100130075	469
HSFX2	1966
LOC100130111	2530
MAPT-IT1	9023
MIR124-2HG	16676
FAM13B-AS1	1253
EFCAB14-AS1	900
LOC100130207	2726
LINC00861	9816
LOC100130238	11054
PP2672	4874
LOC100130256	2189
SLC24A3-AS1	1789
LOC100130268	1751
CCDC166	2640
TFAP2A-AS1	2485
LOC100130283	5578
LOC100130298	859
C8orf89	926
C17orf107	4476
LOC100130331	3127
SCGB2B3P	1868
LOC100130345	3080
TMEM262	2224
LOC100130357	2796
CXorf49	2047
LOC100130370	11357
EPB41L1-AS1	4994
LINC00552	7735
LINC02593	2019
CECR7	5632
LOC100130449	4491
SPAG16-DT	1727
CAND1.11	1080
WAKMAR2	2984
LINC01387	603
TMEM221	2671
CD300H	650
PARD6G-AS1	7782
LINC02881	2120
LOC100130548	2112
NFYC-AS1	1687
LINC00910	16008
LOC100130587	3777
PRR32	1263
LOC100130673	796
LOC100130691	14072
TP53TG3HP	4189
LRRC58-DT	5504
ATP6V1FNB	3883
HDHD5-AS1	955
LRRC70	5405
LRRC69	3942
EFCAB10	4317
AGAP2-AS1	1500
SBK3	1599
LOC100130849	789
USP3-AS1	16458
LOC100130872	3910
CREB3L2-AS1	577
ATE1-AS1	951
PSORS1C3	4151
TSTD3	19366
VAC14-AS1	12115
SMIM6	2006
ZNF663P	1131
CSAG4	841
ZNF594-DT	7904
LINC01502	3430
SYCE1L	1509
LOC100130964	1542
LINC02901	6607
LOC100130987	1340
SPATA48	1607
LOC100130992	3281
ZNF316	8201
DNAH8-AS1	905
LINC01135	8829
CKMT2-AS1	18502
SRP14-DT	6726
DPP9-AS1	3071
LOC100131107	1347
ZBTB20-AS1	10491
BSPH1	654
LINC01405	7742
WDR86-AS1	2015
TSTD1	2905
CCDC183-AS1	2386
RPL21P28	483
SNAP25-AS1	39245
NEMP2	7739
ZNF503-AS2	6775
MIR181A1HG	9832
ANKRD63	4693
LOC100131257	1441
LOC100131289	2751
DPEP2NB	1185
GREM1-AS1	1148
RAB6C-AS1	2454
RDM1P5	3906
LINC00605	1558
C11orf91	1735
SP9	2554
LOC100131395	3470
EOLA1-DT	8117
CD300LD	1303
DBIL5P	2927
LOC100131472	449
LOC100131496	2253
ZNF705EP	3781
LINC00887	7481
CCDC18-AS1	21410
DPP4-DT	895
PRR23D1	3175
LOC100131635	891
ZNF236-DT	1295
MZF1-AS1	3850
FAM83A-AS1	3720
USP30-AS1	656
ARMCX4	16407
PET100	2428
AHI1-DT	18580
UBE2DNL	962
CADM3-AS1	5524
ZNF717	12449
INSYN2B	6310
KRTAP25-1	370
LOC100131943	344
ZNF705G	8179
FAM27E3	1593
RRN3P3	3908
LOC100132004	657
TEX13D	4204
PDE4DIPP6	4423
LOC100132062	1066
FOXO6	8436
LOC100132077	4244
LOC100132078	2587
HERC2P7	1518
FAM66E	3520
C2CD4D-AS1	506
ACTA2-AS1	3212
FAM240A	2027
LINC01783	1548
LOC100132154	1403
CALML3-AS1	10371
PHKA2-AS1	2710
WASIR2	1054
LINC01987	2281
LOC100132202	7412
EHBP1-AS1	4870
LINC00543	1845
NPIPB5	30973
LOC100132249	1164
NDUFA6-DT	20515
KIR2DS2	23070
LOC100132287	3145
TEKT4P2	2680
FAM236B	465
CLUHP3	5076
FRG1HP	2829
KRTAP4-9	2314
ZNF705B	2095
GAGE12D	527
FAM157B	2842
NBPF10	14779
FCGR1CP	1127
CLDN24	663
FAM99B	3201
KRTAP4-7	992
LINC01415	16146
FGD5P1	3374
TAT-AS1	3064
GOLGA8F	25505
PGAM1P5	2367
XGY2	2603
LINC02312	3516
ZRANB2-AS1	1160
BSN-DT	6011
LOC100132686	1132
PAXIP1-AS2	16711
CYP4F30P	5484
DCAF13P3	1334
FILNC1	4786
KDM4A-AS1	6560
SYBU-AS1	3075
IPO5P1	6886
TNIP2P1	719
PMS2P9	515
LOC100132874	4139
MSC-AS1	25778
SHISAL2B	2767
FAM66D	39688
FAM25BP	1097
FAM197Y9	3193
FAM27C	616
SMIM9	1719
FAM223A	1421
GOLGA8DP	13688
LINC00856	9452
CXorf49B	1988
RASA4DP	2535
FAM95B1	10924
GUSBP19	747
CXorf51B	451
LOC100133077	4933
LOC100133091	8849
FAM25G	473
LINC01203	2656
LINC01001	4384
FAM66A	1467
ADIRF-AS1	8245
HSDL2-AS1	3208
LINC00240	16939
GOLGA6L3	3017
SBF1P1	5631
PRR23D2	3174
DEFB130B	240
CBR1-AS1	1293
RSU1P2	6328
HOXA-AS3	7604
XNDC1N	9648
PRO1804	2050
LINC02171	1033
MRPL23-AS1	3752
LINC01134	6099
LY6E-DT	5454
LOC100133920	2028
CD24	6373
UXT-AS1	6182
LINC01816	662
MAP3K14-AS1	10567
UBOX5-AS1	2108
LOC100134040	13955
KDM7A-DT	2457
LINC01119	6453
LOC100134317	11238
LOC100134368	2619
LOC100134391	3411
LOC100134423	1267
KCNJ18	2196
NDUFB2-AS1	1648
LOC100134868	353
UBE2Q2P2	3143
TEN1	2915
UPK3BL1	1342
JMJD7	3283
PLA2G4B	7221
HDAC5	14433
C17orf99	4767
CTAGE8	4919
LOC100144595	2362
LINC00029	3224
LINC01056	1234
EPHA5-AS1	1467
CHKB-DT	9685
LINC00930	12897
KLLN	4910
RNU7-1	63
TMCO1-AS1	2150
PDCD6IP	19582
KRTAP20-4	224
RNU4ATAC	127
RNU6ATAC	126
SCARNA9L	150
PDCD6	13564
RNA5S1	119
TEX36-AS1	1010
RNA5S2	119
RNA5S3	119
RNA5S4	119
RNA5S5	119
RNA5S6	119
RNA5S7	119
RNA5S8	119
RNA5S9	119
RNA5S10	119
RNA5S11	119
RNA5S12	238
RNA5S13	119
RNA5S14	119
RNA5S15	119
RNA5S16	238
RNA5S17	238
PATE3	1320
PEG3-AS1	3713
DBIL5P2	1945
BCL2L10	2074
SRRM5	2411
ERICH4	948
EPOP	6974
TRIM59-IFT80	10708
BCL2L11	14959
MIR1224	85
MIR1225	90
TOMM6	1097
LINC00426	8571
LINC00092	2592
DNMBP-AS1	6675
DCTN1-AS1	11950
SH2B3	7465
RAMP2-AS1	9671
TPT1-AS1	36538
LINC02418	8943
C5orf52	721
C2CD4D	1757
PPIAP30	519
ZFHX4-AS1	16977
PP12613	2230
FLJ16779	7638
LINC01634	2379
LOC100192426	616
CDH4	14949
GNE	7677
HCN4	6922
MANCR	5656
FAR2P2	7848
INSL5	736
FRAT1	2645
PCED1B-AS1	6116
TROAP	9255
LOC100240728	4433
LOC100240735	1264
MED16	13404
PIGK	9902
LOC100268168	4144
LINC01432	693
CASC11	5778
LOC100270746	1346
LINC00653	1539
LINC00940	4700
ARHGEF33	9502
LINC00899	3077
LIMS3-LOC440895	12669
SMG1P3	9416
ERVV-2	3033
MEF2B	3719
AIRN	5863
ZNRF2P2	420
RASA4B	11862
CMC4	1711
EOLA2-DT	22721
BCDIN3D-AS1	7370
LOC100286906	1551
LOC100286922	2961
PPM1F-AS1	40108
VPS13A-AS1	701
ANAPC1P1	2982
MCPH1-DT	2413
DDX11L10	2223
LOC100287036	2158
MIF4GD-DT	2527
FAM90A26	2492
DCAF8-DT	2251
LOC100287072	1734
GACAT2	818
DEFT1P2	589
TONSL-AS1	428
DDX11L1	2289
LINC00421	1054
USP17L10	1593
WASHC1	2429
LOC100287175	1333
EML2-AS1	2323
USP17L11	1593
USP17L12	1593
SH3RF3-AS1	1604
LINC01630	27632
ZNF729	3844
USP17L13	1593
MANSC4	1667
LOC100287290	8825
LINC00941	34754
USP17L17	1593
PRSS46P	1352
USP17L18	1593
OSTM1-AS1	6003
POTEB2	3866
USP17L19	1593
USP17L20	1593
USP17L21	1593
SMKR1	1393
SEPTIN7P13	4274
USP17L22	1593
GLYATL1B	909
ADPGK-AS1	5643
LINC00173	3678
LINC02106	831
DDX11L5	654
LOXL1-AS1	12819
SELENOKP3	284
MTHFD2P1	3186
LOC100287704	4216
ANKRD66	3881
AP4B1-AS1	3481
SMIM10L2B-AS1	2356
LINC00630	20529
LOC100287792	2782
LOC100287808	4196
LINC00582	597
LOC100287834	2281
ARHGEF17-AS1	1695
LOC100287846	2747
LINC00994	2129
LOC100287896	2493
TTC34	12657
LGALS8-AS1	2887
TIMM23	1190
LOC100287944	2790
LINC01699	259
LOC100288069	7035
SDR42E2	2630
WTAPP1	3381
GS1-279B7.1	1238
LDLRAD4-AS1	2190
LOC100288123	2352
NBPF20	22311
SLC9A3-AS1	9241
LOC100288175	3533
LNCOC1	21596
HMGN3-AS1	2946
WHAMMP4	3285
LOC100288208	2328
KRTAP22-2	293
KRTAP21-3	253
NPIPA5	2709
NCAM1-AS1	12422
ULK4P2	2371
ERVMER34-1	6589
LMCD1-AS1	8031
IL10RB-DT	2228
MTRNR2L7	1535
DDX11L9	6718
USP17L15	1662
FOXL3-OT1	530
LOC100288570	6294
WHAMMP1	3944
LOC100288637	6372
DUX4	3951
LIMS4	8311
LOC100288728	852
LINC02894	2183
WASH8P	3634
TMEM239	7329
LOC100288798	10058
FRG2C	4030
HYDIN2	17735
CLDN34	995
SRGAP3-AS3	1223
B3GALT9	2719
MIA2-AS1	1359
NGFR-AS1	1221
PRSS43P	1944
LOC100288966	3526
BMS1P21	2139
MOXD2P	4292
SLC25A25-AS1	6391
ADAMTSL4-AS2	665
TSPY10	3781
ATP2A1-AS1	937
FRG1CP	3775
GS1-124K5.4	3920
FAM95C	7811
FAM197Y5	1168
GNG12-AS1	2998
TMEM225B	2336
FAM197Y4	778
LINC00624	5760
TMEM238L	3419
DNAJC3-DT	6958
CNTNAP3C	1728
LOC100289333	3713
MAN1B1-DT	1872
LOC100289361	561
UBAC2-AS1	7523
KCTD21-AS1	9761
DEFB4B	1006
LOC100289470	2284
LOC100289473	2114
LOC100289495	7332
KCNIP2-AS1	1234
LOC100289561	1105
HERC2P4	6206
LOC100289580	6067
ZNF605	17590
PSG8-AS1	1873
LOC100289656	1790
LINC01848	518
ZNF783	4424
RBM38-AS1	2102
LINC00942	2210
ZNF587B	13874
C4B_2	10789
RNF213-AS1	7342
NHEG1	1656
CDH5	13239
MIR1184-1	99
MIR1284	120
MIR1200	76
MIR513C	84
MIR1468	86
MIR1265	86
MIR320B1	79
MIR1286	78
MIR1538	61
MIR1276	83
MIR1183	89
MIR1275	80
MIR1288	75
MIR1289-1	144
MIR1471	57
MIR1470	61
MIR1302-3	138
MIR1915	80
MIR1302-4	150
MIR302F	51
MIR1182	97
MIR1287	90
MIR1289-2	111
MIR320C1	88
MIR1252	65
MIR1914	80
MIR1292	66
MIR1537	61
MIR1302-6	90
MIR1913	80
MIR1246	73
MIR1248	106
MIR1912	80
MIR1247	3244
MIR1302-5	150
MIR1302-7	72
MIR1263	86
MIR1249	66
MIR1296	92
MIR548N	75
MIR1298	112
MIR1256	119
MIR1229	138
MIR1185-1	86
MIR1231	92
MIR548F3	87
MIR1233-1	82
MIR1205	63
MIR1278	81
MIR2113	91
MIR1322	142
MIR1299	83
MIR1257	117
MIR320D2	48
MIR1206	59
MIR1321	79
MIR1258	73
MIR1307	149
MIR1207	87
MIR1269A	105
MIR1295A	79
MIR1270	83
MIR1294	142
MIR1279	62
MIR1825	53
MIR1272	129
MIR1204	67
MIR548I3	149
MIR1297	77
MIR1243	93
MIR1976	104
MIR548I4	77
MIR548F1	84
MIR1255A	113
MIR320C2	50
MIR1234	160
MIR1306	85
MIR1228	73
MIR1266	84
MIR1271	86
MIR548I1	149
MIR1283-2	87
MIR1253	105
MIR1185-2	86
MIR1909	80
MIR1203	85
MIR1324	96
MIR1181	81
MIR1277	78
MIR1827	66
MIR1285-1	84
MIR1245A	70
MIR1293	71
MIR1291	87
MIR1911	80
MIR1302-8	128
MIR2110	75
MIR2053	91
MIR1238	83
MIR1302-1	143
MIR1261	82
MIR1250	113
MIR1226	75
MIR1268A	52
MIR664A	82
MIR1179	91
MIR1260A	73
MIR1281	54
MIR103B1	62
MIR548F5	86
MIR1304	91
MIR1236	102
MIR1972-1	77
MIR1301	82
MIR1197	88
MIR1264	69
MIR1282	101
MIR1323	73
MIR1180	69
MIR1539	50
MIR1469	47
MIR1202	83
MIR2052	55
MIR1910	80
MIR1908	80
MIR1283-1	87
MIR2054	49
MIR1285-2	88
MIR1305	86
MIR1178	91
MIR548L	86
MIR1290	78
MIR548I2	149
MIR1302-2	138
MIR1262	93
MIR1237	102
MIR1208	73
MIR103B2	62
MIR1227	88
MIR1303	86
MIR1244-1	85
MIR1267	78
MIR548H3	118
MIR548P	84
MIR1251	70
MIR1973	1489
RASAL2-AS1	7131
PTCSC1	2809
FAM41AY2	1978
LINC00882	31531
GPR75-ASB3	6683
LINC00184	2270
FTX	93484
TMED7-TICAM2	7878
FAS-AS1	4205
SNORA80B	136
NCRUPAR	99
TSNAX-DISC1	5787
ZEB2-AS1	7922
SLC25A5-AS1	12394
PET117	1151
PITPNA-AS1	542
NDUFAF4P1	519
OTX2-AS1	6477
SPDYE2B	2537
ANKRD61	1423
MIR320B2	138
MIR548K	232
MIR548F2	98
MIR548M	86
MIR548H2	88
MIR302E	72
MIR670	98
MIR759	91
MIR2117	80
MIR2278	96
MIR718	70
MIR1255B1	63
MIR513B	84
MIR663B	115
MIR548O	114
MIR548H1	102
MIR1255B2	67
MIR762	83
MIR764	85
MIR2114	80
MIR2115	100
MIR548Q	100
MIR2276	89
MIR711	76
MIR548H4	111
MIR2116	80
MIR2277	93
MIR761	59
MIR548F4	105
MIR320D1	48
MIR548J	112
MIR548E	88
MIR449C	92
MIR548G	89
HOTTIP	7696
SAP25	2541
GCSHP3	782
TRPC5OS	3707
LOC100335030	647
SNORA70F	135
CSN1S2BP	1334
LINC00102	2680
CHAF1A	6761
SNORA70G	142
SNORA70D	135
MACROD2-AS1	2581
TMED11P	1007
LOC100379224	9316
BOK-AS1	643
SNORA70E	135
NPPA-AS1	1032
MIR181A2HG	662
GRIK1-AS2	1611
PARP2	6129
PARP3	7676
CDH6	13950
TOM1L1	12632
PRR20G	1085
LOC100419170	3034
LOC100419583	8780
DBET	4045
ZNF722P	1453
ZNF33BP1	1834
HMGXB4	8594
LOC100420587	6337
LOC100421372	6590
UBE2FP1	447
FAM21EP	2718
LOC100421746	610
LOC100422556	1041
SMG1P6	2930
LINC02532	34851
LOC100422781	2855
MIR1273C	77
MIR4300	96
MIR3128	66
MIR3160-2	81
MIR4274	91
MIR3160-1	85
MIR4287	78
MIR4319	85
MIR3171	74
MIR1302-9	138
MIR3191	76
MIR3188	85
MIR1302-10	276
MIR3183	84
MIR3180-3	94
MIR1193	78
MIR3195	84
MIR3119-1	85
MIR4317	65
MIR3174	87
MIR3074	81
MIR4293	78
MIR3118-3	75
MIR1233-2	82
MIR3164	83
MIR514B	80
MIR4283-2	80
MIR548T	74
MIR548V	80
MIR4316	71
MIR4259	101
MIR3182	63
MIR3187	70
MIR4301	66
MIR3123	75
MIR4318	81
MIR4285	85
MIR3136	78
MIR4292	67
MIR4306	91
MIR548S	82
MIR4265	99
MIR544B	78
MIR4320	65
MIR3115	68
MIR378C	81
MIR4270	70
MIR3152	74
MIR3180-1	94
MIR3117	78
MIR1244-3	85
MIR4297	76
MIR4279	58
MIR3192	77
MIR3148	77
MIR3202-2	79
MIR3168	82
MIR3124	67
MIR3162	82
MIR3170	77
MIR3120	81
MIR4325	90
MIR548U	81
MIR1244-2	85
MIR3179-2	84
MIR4280	76
MIR4264	66
MIR3194	73
MIR4327	85
MIR3157	85
MIR3154	84
MIR4260	67
MIR4294	76
MIR3140	90
MIR4302	60
MIR4255	72
MIR3190	80
MIR3158-1	81
MIR3135A	77
MIR3116-1	74
MIR4288	67
MIR3193	55
MIR4311	100
MIR3156-2	77
MIR3129	76
MIR4295	85
MIR2861	90
MIR500B	79
MIR3200	85
MIR320E	53
MIR4253	68
MIR3065	79
MIR3201	52
MIR4283-1	80
MIR3167	85
MIR1302-11	138
MIR548X	75
MIR3149	83
MIR1972-2	77
MIR548W	74
MIR4303	66
MIR4322	73
MIR3137	75
MIR4291	65
MIR3127	76
MIR4261	58
MIR4330	105
MIR4304	62
MIR4328	56
MIR378B	57
MIR3143	63
MIR3118-4	75
MIR3153	82
MIR4275	87
MIR3142	82
MIR3147	66
MIR4305	102
MIR4272	64
MIR3133	78
MIR3189	73
MIR3186	85
MIR4326	59
MIR3116-2	68
MIR3122	73
MIR4284	81
MIR3118-2	75
MIR3141	61
MIR3144	79
MIR4271	67
MIR3165	75
MIR4309	83
MIR4273	84
MIR3180-2	88
MIR3131	63
MIR4268	64
MIR3179-1	760
MIR4315-2	73
MIR4281	62
MIR4290	95
MIR3150A	80
MIR4263	83
MIR4277	84
MIR3146	79
MIR4251	61
MIR2909	69
MIR4312	76
MIR3181	73
MIR3169	83
MIR3178	84
MIR4252	63
MIR4256	64
MIR1184-3	99
MIR3185	68
MIR4324	72
MIR4323	69
MIR3173	68
MIR4286	186
MIR4314	92
MIR4308	81
MIR1184-2	99
MIR3125	78
MIR3202-1	81
MIR3156-1	75
MIR3155A	82
MIR3134	74
MIR1260B	89
MIR3151	76
MIR3130-1	75
MIR4267	82
MIR3175	77
MIR4262	54
MIR4257	86
MIR3199-2	86
MIR4278	69
MIR3161	77
MIR3145	82
MIR3130-2	75
MIR3184	169
MIR4315-1	73
MIR4282	67
MIR3179-3	84
MIR3118-1	76
MIR4329	71
MIR3119-2	85
MIR3138	82
MIR3177	82
MIR4310	57
MIR3196	64
MIR4289	70
MIR3159	148
MIR3139	76
MIR3156-3	77
MIR4307	84
MIR4258	91
MIR4298	146
MIR3197	73
MIR3198-1	80
MIR4299	72
MIR4266	55
MIR4254	76
MIR3163	73
MIR3126	74
MIR4321	80
MIR3121	77
MIR3158-2	81
MIR3199-1	88
MIR4313	3006
MIR2355	87
MIR3176	90
MIR466	84
MIR3132	75
MIR3166	92
MIR4296	88
MIR4276	70
MIR4269	84
IGLL5	3517
TOM1	10886
KLRF2	731
SH2D3C	8016
SH2D3A	8485
MAMLD1	23009
MTRNR2L1	1249
MTRNR2L2	87
MTRNR2L3	1052
MTRNR2L4	1690
MTRNR2L5	1687
MTRNR2L6	2894
MTRNR2L8	1293
MTRNR2L9	75
MTRNR2L10	1051
CST8	1036
RANBP9	3930
DNAJB6	20653
LINC00881	6556
LINC00276	3964
THAP9-AS1	9282
BAALC-AS1	10963
USP2-AS1	14605
LINC00987	3845
LINC00674	838
LINC00673	45374
CCDC180	16415
SUGT1P4-STRA6LP	4049
CDH7	15503
SLC17A4	7657
SRSF3P2	453
MIR3659	99
MIR3685	62
MIR3919	89
MIR3654	1370
MIR374C	70
MIR3917	93
MIR23C	100
MIR3620	79
MIR3621	85
MIR3677	60
MIR3646	84
MIR3616	92
MIR3649	132
MIR3612	87
MIR3945	1129
MIR3609	80
MIR3655	83
MIR3910-1	111
MIR3937	106
MIR3920	86
MIR3650	60
MIR3660	100
MIR3909	119
MIR3614	86
MIR3619	83
MIR3943	100
MIR550B2	97
MIR3912	105
MIR3658	56
MIR3924	81
MIR3907	151
MIR3914-1	99
MIR3606	63
MIR3926-2	126
MIR3686	86
MIR3678	94
MIR3652	131
MIR3922	84
MIR3664	99
MIR642B	77
MIR3689A	78
MIR3615	87
MIR3916	94
MIR3682	84
MIR3918	93
MIR3180-4	153
MIR3605	100
MIR3671	88
MIR3713	45
MIR548Z	97
MIR3939	106
MIR3622A	2679
MIR3921	85
MIR3618	88
MIR3665	105
MIR3648-1	180
MIR548AA1	97
MIR3929	55
MIR3936	110
MIR3941	103
MIR3684	74
MIR3913-2	100
MIR3672	82
MIR3926-1	146
MIR3622B	95
MIR3911	852
MIR3934	107
MIR3938	103
MIR3675	73
MIR3923	83
MIR3679	68
MIR3668	75
MIR3662	95
MIR3688-1	93
MIR3667	74
MIR550B1	97
MIR3681	72
MIR3925	77
MIR3683	82
MIR676	67
MIR3940	102
MIR3657	117
MIR3611	83
MIR3935	104
MIR3663	97
MIR3690	150
MIR548AA2	97
MIR3666	111
MIR3617	79
MIR3927	71
MIR3692	69
MIR3691	90
MIR3928	58
MIR3910-2	82
MIR3913-1	102
MIR3942	109
MIR3661	96
MIR3689B	148
MIR3150B	86
MIR3613	87
MIR3908	126
MIR3670-1	65
MIR3944	108
MIR3674	68
MIR3714	130
MIR3610	73
